Middle layer Super Output Areas Code,Middle layer Super Output Areas,Accommodation by type of dwelling (9 categories) Code,Accommodation by type of dwelling (9 categories),Observation
E02003491,Brighton and Hove 001,1,Unshared dwelling: Detached whole house or bungalow,330
E02003491,Brighton and Hove 001,2,Unshared dwelling: Semi-detached house or bungalow,2136
E02003491,Brighton and Hove 001,3,Unshared dwelling: Terraced,242
E02003491,Brighton and Hove 001,4,Unshared dwelling: In a purpose-built block of flats or tenement,271
E02003491,Brighton and Hove 001,5,"Unshared dwelling: Part of a converted or shared house, including bedsits",39
E02003491,Brighton and Hove 001,6,"Unshared dwelling: Part of another converted building, for example, former school, church or warehouse",6
E02003491,Brighton and Hove 001,7,"Unshared dwelling: In a commercial building, for example, in an office building, hotel or over a shop",32
E02003491,Brighton and Hove 001,8,Unshared dwelling: A caravan or other mobile or temporary structure,1
E02003491,Brighton and Hove 001,9,Shared dwelling,0
E02003492,Brighton and Hove 002,1,Unshared dwelling: Detached whole house or bungalow,104
E02003492,Brighton and Hove 002,2,Unshared dwelling: Semi-detached house or bungalow,1185
E02003492,Brighton and Hove 002,3,Unshared dwelling: Terraced,418
E02003492,Brighton and Hove 002,4,Unshared dwelling: In a purpose-built block of flats or tenement,284
E02003492,Brighton and Hove 002,5,"Unshared dwelling: Part of a converted or shared house, including bedsits",70
E02003492,Brighton and Hove 002,6,"Unshared dwelling: Part of another converted building, for example, former school, church or warehouse",12
E02003492,Brighton and Hove 002,7,"Unshared dwelling: In a commercial building, for example, in an office building, hotel or over a shop",6
E02003492,Brighton and Hove 002,8,Unshared dwelling: A caravan or other mobile or temporary structure,1
E02003492,Brighton and Hove 002,9,Shared dwelling,0
E02003493,Brighton and Hove 003,1,Unshared dwelling: Detached whole house or bungalow,1294
E02003493,Brighton and Hove 003,2,Unshared dwelling: Semi-detached house or bungalow,1015
E02003493,Brighton and Hove 003,3,Unshared dwelling: Terraced,145
E02003493,Brighton and Hove 003,4,Unshared dwelling: In a purpose-built block of flats or tenement,832
E02003493,Brighton and Hove 003,5,"Unshared dwelling: Part of a converted or shared house, including bedsits",41
E02003493,Brighton and Hove 003,6,"Unshared dwelling: Part of another converted building, for example, former school, church or warehouse",5
E02003493,Brighton and Hove 003,7,"Unshared dwelling: In a commercial building, for example, in an office building, hotel or over a shop",32
